ids	maltype	system calls tfidf_1gram-scaled
delay_163_2021-11-30	delay	[0.0, 0.0004228384485758226, 0.0001849420944790414, -0.5060547437767199, 0.0003698841889580828, 0.49101590880653284, 0.0, -1.2905051569183963, 0.0, 0.00018967720928763997, 0.0, 0.0005073294469843927, 0.7063713562185944, 0.0001375015270533567, -0.6729040288993251, 0.0001849420944790414, 33.80850703601129]
delay_164_2021-11-30	delay	[0.0, 0.00018747115501884754, 0.00020499145820565982, -0.9404992021401796, 0.00040998291641131964, -0.5375925504434926, 0.0, 1.0174983992760191, 0.0, 0.00021023990146634664, 0.0, 0.00037488563982130546, -1.0316909867486403, 0.00015240791240939922, -0.2647358407326452, 0.00020499145820565982, 1.0940562350723269]
delay_165_2021-11-30	delay	[0.0, 0.00045231397078685957, 0.00019783416905724802, -0.9617387924019186, 0.00039566833811449604, -0.6929869671494837, 0.0, -1.518266865475088, 0.0, 0.00020289936260438785, 0.0, 0.0005426947275856908, 1.0453360617555494, 0.00014708658093945325, -1.6318801818313722, 0.00019783416905724802, 35.89859051353882]
delay_166_2021-11-30	delay	[0.0, 0.0004665433040241289, 0.00020405782894627753, 0.5100529699798428, 0.00040811565789255507, -0.3997287333565294, 0.0, 0.06147263349714562, 0.0, 0.00020928236828317518, 0.0, 0.0005597673466593226, -0.5212748128095835, 0.00015171377379683308, -2.44763354180319, 0.00020405782894627753, 37.771115276152145]
delay_167_2021-11-30	delay	[0.0, 0.00043917183861914247, 0.0001920860317788043, -0.8077893739020834, 0.0003841720635576086, -0.6098641235950458, 0.0, -0.9681473103555662, 0.0, 0.00019700405445051048, 0.0, 0.0005269265526070426, 0.3822077449194917, 0.00014281293163465476, -0.9751693667825264, 0.0001920860317788043, 35.13916296524373]
delay_168_2021-11-30	delay	[0.0, 0.00043487330627957853, 0.00019020592939752266, 0.3138475279404969, 0.0003804118587950453, -1.187350197608217, 0.0, -0.692791732553992, 0.0, 0.00019507581537729632, 0.0, 0.0005217690934355301, 0.2435490402139357, 0.00014141510520054255, -1.9872256909183874, 0.00019020592939752266, 36.04353415304514]
delay_169_2021-11-30	delay	[0.0, 0.000410038338391206, 0.00017934355159563329, 2.1234306565630807, 0.00035868710319126657, -0.14178747418584645, 0.0, -1.0679992000008787, 0.0, 0.00018393532562836103, 0.0, 0.0004919716363520505, 0.518798886865385, 0.00013333909881920714, -0.6783341200441739, 0.00017934355159563329, 32.37257704976694]
delay_16_2021-11-30	delay	[0.0, 0.00039315052062074117, 0.0001719571173672188, -0.017948578566584893, 0.0003439142347344376, -0.8029159603356577, 0.0, -0.9837621120516207, 0.0, 0.00017635977483242723, 0.0, 0.000471709318014822, 0.3639582813857435, 0.00012784740160042566, 0.013700014301332771, 0.0001719571173672188, 30.619656824876834]
delay_170_2021-11-30	delay	[0.0, 0.0004139288746222352, 0.0001810452036607106, -0.8503827998027015, 0.0003620904073214212, -0.8390806265422424, 0.0, -0.8389338184641283, 0.0, 0.00018568054548104843, 0.0, 0.0004966395741926342, 0.26558608749018825, 0.00013460425026090957, -0.555339502945229, 0.0001810452036607106, 32.20024710784627]
delay_171_2021-11-30	delay	[0.0, 0.0007613291026280059, 0.00033299194834838716, -1.0053278923000182, 0.0006659838966967743, -1.2015125944871567, 0.0, -2.5492558872637674, 0.0, 0.00034151761747855494, 0.0, 0.0009134568389187755, 1.3238903296754845, 0.0002475742557331345, -2.7440771186321946, 0.00033299194834838716, 61.30629020611292]
delay_172_2021-11-30	delay	[0.0, 0.0004552579116020405, 0.0001991217969496871, -0.8988273719678063, 0.0003982435938993742, -0.9974184959508711, 0.0, 0.9055060217584252, 0.0, 0.00020421995792870677, 0.0, 0.0005462269226137234, -1.6010362982468094, 0.00014804391194614267, -1.405655895357976, 0.0001991217969496871, 38.08264494019445]
